Species,Locality ,District,Island,Habitat,Latitude, Longitude,Altitude (m),
"Dysdera longa Wunderlich, 1992",Morro del Cavadero,Pájara,Fuerteventura,Thermo-sclerophyllous woodlands,28.093768,-14.363823,686,
"Dysdera longa Wunderlich, 1992",Morro del Jorao,Jandía,Fuerteventura,Thermo-sclerophyllous woodlands,28.117460,-14.334534,578,
"Dysdera longa Wunderlich, 1992",Pico de la Zarza,Jandía,Fuerteventura,Thermo-sclerophyllous woodlands,28.097596,-14.362101,666,
"Dysdera longa Wunderlich, 1992",Pico del Fraile,Jandía,Fuerteventura,Thermo-sclerophyllous woodlands,28.090043,-14.394320,657,
"Dysdera macra Simon, 1883",Barranco de Badajoz,Güímar,Tenerife,Laurel forest,28.303927,-16.440052,595,
"Dysdera macra Simon, 1883",Barranco de San Andrés,Santa Cruz de Tenerife,Tenerife,Lowland xerophytic shrub,28.519926,-16.189101,455,
"Dysdera macra Simon, 1883",Barranco del Agua,Güímar,Tenerife,Laurel forest,28.307838,-16.448156,800,
"Dysdera macra Simon, 1883",Barranco del Pino,Santa Úrsula,Tenerife,Pine forest,28.384151,-16.475028,1375,
"Dysdera macra Simon, 1883",Barranco del Río,Arico,Tenerife,Pine forest,28.170842,-16.556740,905,
"Dysdera macra Simon, 1883",Barranco Samarines,Candelaria,Tenerife,Tabaibal-Cardonal,28.345548,-16.371103,27,
"Dysdera macra Simon, 1883",Base Zig-Zag. Teide National Park,La Orotava,Tenerife,Dry subalpine scrub,28.271970,-16.614630,2686,
"Dysdera macra Simon, 1883",Caldera de Pedro Gil,Arico,Tenerife,Pine forest,28.248283,-16.529917,1790,
"Dysdera macra Simon, 1883",Candelaria (close to pig farm),Candelaria,Tenerife,Lowland xerophytic shrub,28.343010,-16.383854,144,
"Dysdera macra Simon, 1883",Cañada de Diego Hernández. Teide National Park,La Orotava,Tenerife,Dry subalpine scrub,28.277097,-16.551003,2095,
"Dysdera macra Simon, 1883",Cañadas del Teide,La Orotava,Tenerife,Dry subalpine scrub,28.288195,-16.573390,2184,
"Dysdera macra Simon, 1883",Close to Ucanca hut. Teide National Park,La Orotava,Tenerife,Dry subalpine scrub,28.211143,-16.627367,2200,
"Dysdera macra Simon, 1883",Cueva de Cosme,Arafo-Güímar,Tenerife,Lava tube,28.340410,-16.471530,1616,
"Dysdera macra Simon, 1883",Cumbre Bolico,Santiago del Teide,Tenerife,Laurel forest,28.314186,-16.826940,1191,
"Dysdera macra Simon, 1883",Cumbres de Arico. Trail from Izaña,Arico,Tenerife,Pine forest,28.249217,-16.528748,1950,
"Dysdera macra Simon, 1883","El Aderno, over Buenavista",Buenavista del Norte,Tenerife,Thermo-sclerophyllous woodlands,28.358258,-16.864456,200,
"Dysdera macra Simon, 1883",El Diablillo,La Victoria de Acentejo,Tenerife,Pine forest,28.404818,-16.423071,1659,
"Dysdera macra Simon, 1883",El Escobonal,Güímar,Tenerife,Lowland xerophytic shrub,28.267749,-16.425706,562,
"Dysdera macra Simon, 1883",El Guanche. Trail to Chimoche. Aguamansa,La Orotava,Tenerife,Pine forest,28.347186,-16.514020,1425,
"Dysdera macra Simon, 1883",El Lagar. Llano del Hospital forest road,La Guancha,Tenerife,Pine forest,28.335544,-16.657566,1065,
"Dysdera macra Simon, 1883",El Palmar,Arona,Tenerife,Urban area,28.022870,-16.694530,45,
"Dysdera macra Simon, 1883",El Pinalito,Vilaflor,Tenerife,Pine forest,28.183345,-16.636379,1866,
"Dysdera macra Simon, 1883",El Portillo,La Orotava,Tenerife,Dry subalpine scrub,28.296899,-16.565151,2115,
"Dysdera macra Simon, 1883",Forest road to Benijos,Los Realejos,Tenerife,Pine forest,28.338981,-16.547893,1292,
"Dysdera macra Simon, 1883",Forest road to Los Órganos (beyond los Sanguinos Forest),Santa Úrsula,Tenerife,Pine forest,28.362888,-16.483766,1295,
"Dysdera macra Simon, 1883",Forest road to Madre del Agua- Barranco del Río,Vilaflor,Tenerife,Pine forest,28.177310,-16.601628,1710,
"Dysdera macra Simon, 1883",Guergue,Buenavista,Tenerife,Midland xerophytic shrub,28.292050,-16.846042,910,
"Dysdera macra Simon, 1883",Izaña,La Orotava,Tenerife,Dry subalpine scrub,28.306892,-16.514530,2237,
"Dysdera macra Simon, 1883",La Caldera. Aguamansa,La Orotava,Tenerife,Pine forest,28.356576,-16.499748,1199,
"Dysdera macra Simon, 1883",La Fortaleza. Teide National Park,La Orotava,Tenerife,Subalpine shrubs,28.316723,-16.591240,2070,
"Dysdera macra Simon, 1883",Las Arenas,Santiago del Teide,Tenerife,Thermo-sclerophyllous woodlands,28.299588,-16.795435,1200,
"Dysdera macra Simon, 1883",Las Cañadas del Teide,La Orotava,Tenerife,Dry subalpine scrub,28.288195,-16.573390,2184,
"Dysdera macra Simon, 1883",Las Chafiras crossroad (highway),San Miguel,Tenerife,Lowland xerophytic shrub,28.053842,-16.598014,140,
"Dysdera macra Simon, 1883",Las Lagunetas,El Rosario,Tenerife,Pine forest,28.418535,-16.410090,1400,
"Dysdera macra Simon, 1883",Las Lajas picnic place,Vilaflor,Tenerife,Pine forest,28.190338,-16.669163,2050,
"Dysdera macra Simon, 1883",Las Raíces,El Rosario,Tenerife,Pine forest,28.435580,-16.373500,1200,
"Dysdera macra Simon, 1883",Los Lomitos. Monte de Las Mesas,Santa Cruz de Tenerife,Tenerife,Semi-arid tropical shrubs,28.481365,-16.263627,390,
"Dysdera macra Simon, 1883",Madre del Agua,Granadilla,Tenerife,Pine forest,28.169368,-16.630688,1700,
"Dysdera macra Simon, 1883",Malpaís de Rasca,Arona,Tenerife,Lowland xerophytic shrub,28.018203,-16.690674,52,
"Dysdera macra Simon, 1883",Mirador sobre La Rosa de Piedra,La Orotava,Tenerife,Pine forest,28.339491,-16.524285,1514,
"Dysdera macra Simon, 1883",Mirador Vista a La Palma,La Orotava,Tenerife,Pine forest,28.347912,-16.516101,1383,
"Dysdera macra Simon, 1883",Montaña Chusqueros. Siete Cañadas,La Orotava,Tenerife,Subalpine shrubs,28.292240,-16.559003,2099,
"Dysdera macra Simon, 1883",Montaña Roja. El Médano,Granadilla de Abona,Tenerife,Lowland xerophytic shrub,28.030936,-16.545984,49,
"Dysdera macra Simon, 1883",Montaña Viña Vieja,San Miguel,Tenerife,Lowland xerophytic shrub,28.102705,-16.608081,656,
"Dysdera macra Simon, 1883",Monte de Santa Úrsula. La Corujera,Santa Úrsula,Tenerife,Laurel forest,28.403179,-16.486186,880,
"Dysdera macra Simon, 1883",Morada del Viento (Siete Fuentes road). Las Lagunetas,El Rosario,Tenerife,Pine forest,28.411180,-16.421127,1540,
"Dysdera macra Simon, 1883",Orticosa. Choza de la Loca,Arafo,Tenerife,Pine forest,28.384498,-16.447410,1450,
"Dysdera macra Simon, 1883",Pinar de Chío,Guía de Isora,Tenerife,Pine forest,28.241833,-16.763415,1184,
"Dysdera macra Simon, 1883",Pinar de Ifonche,Adeje,Tenerife,Pine forest,28.141800,-16.691400,1037,
"Dysdera macra Simon, 1883",Pine forest Roque del Peral. Teide National Park,Los Realejos,Tenerife,Pine forest,28.308159,-16.576300,2000,
"Dysdera macra Simon, 1883",Polígono Industrial Arafo-Güímar,Güímar,Tenerife,Lowland xerophytic shrub,28.343305,-16.374289,70,
"Dysdera macra Simon, 1883",Retamar (3050 m). Teide National Park,La Orotava,Tenerife,Dry subalpine scrub,28.273448,-16.625179,3054,
"Dysdera macra Simon, 1883",Retamar Denso. Teide National Park,La Orotava,Tenerife,Dry subalpine scrub,28.299317,-16.601028,2121,
"Dysdera macra Simon, 1883",Rincón de Atanasio (Old road),Candelaria,Tenerife,Lowland xerophytic shrub,28.356447,-16.380447,112,
"Dysdera macra Simon, 1883",Roque del Conde,Adeje,Tenerife,Xerophytic scrubs,28.093144,-16.698890,525,
"Dysdera macra Simon, 1883",Rosa de Piedra,La Orotava,Tenerife,Pine forest,28.340555,-16.524742,1484,
"Dysdera macra Simon, 1883",Siete Cañadas. Teide National Park,La Orotava,Tenerife,Dry subalpine scrub,28.292240,-16.559003,2099,
"Dysdera macra Simon, 1883",Tabaiba,El Rosario,Tenerife,Xerophytic scrubs,28.407689,-16.328955,230,
"Dysdera macra Simon, 1883",Teno Alto,Buenavista,Tenerife,Laurel forest,28.335996,-16.865760,861,
"Dysdera macra Simon, 1883",Torre del Gaitero,Arafo,Tenerife,Pine forest,28.394697,-16.431984,1735,
"Dysdera macra Simon, 1883",Valle de San Lorenzo (crossroad),Arona,Tenerife,Lowland xerophytic shrub,28.054350,-16.677984,109,
"Dysdera macra Simon, 1883",Valle Jiménez,Santa Cruz de Tenerife,Tenerife,Thermo-sclerophyllous woodlands,28.498880,-16.273290,481,
"Dysdera macra Simon, 1883",Volcán Chuchurumbache,Granadilla,Tenerife,Lowland xerophytic shrub,28.097330,-16.583230,515,
"Dysdera madai Arnedo, 2007",Barranco de los Cochinos. Monte del Agua,Los Silos,Tenerife,Laurel forest,28.324550,-16.819440,950,
"Dysdera madai Arnedo, 2007",Montaña Blanca. Teide National Park,La Orotava,Tenerife,Dry subalpine scrub,28.270218,-16.597251,513,
"Dysdera mahan Macías-Hernández & Arnedo, 2010",Caleta de Arriba,La Graciosa,Lanzarote,Sand dunes,29.244485,-13.492957,7,
"Dysdera mahan Macías-Hernández & Arnedo, 2010",Caleta de Famara,Haría,Lanzarote,Sand dunes,29.203408,-13.424308,10,
"Dysdera mahan Macías-Hernández & Arnedo, 2010",Malpaís de la Corona. Tide ponds,Haría,Lanzarote,Lowland xerophytic shrub (Dunes),29.194456,-13.427880,30,
"Dysdera mahan Macías-Hernández & Arnedo, 2010",Playa Caleta del Congrio. Papagayo,Yaiza,Lanzarote,Lowland xerophytic shrub (Pebbled beaches),28.838823,-13.787028,1,
"Dysdera mahan Macías-Hernández & Arnedo, 2010",Playa Caleta del Mariscadero. Timanfaya,Tinajo,Lanzarote,Lowland xerophytic shrub (Pebbled beaches),29.064238,-13.765097,8.5,
"Dysdera mahan Macías-Hernández & Arnedo, 2010",Playa Catalina Cabrera. Famara,Haría,Lanzarote,Lowland xerophytic shrub (Pebbled beaches),29.194448,-13.505116,7,
"Dysdera mahan Macías-Hernández & Arnedo, 2010",Playa de El Trillo,Alegranza,Lanzarote,Lowland xerophytic shrub (Pebbled beaches),29.404184,-13.490834,2,
"Dysdera mahan Macías-Hernández & Arnedo, 2010",Playa de Esquinzo,La Oliva,Fuerteventura,Lowland xerophytic shrub (Pebbled beaches),28.636453,-14.025551,35,
"Dysdera mahan Macías-Hernández & Arnedo, 2010",Playa de Teneza,Tinajo,Lanzarote,Lowland xerophytic shrub (Pebbled beaches),29.079730,-13.715702,1,
"Dysdera mahan Macías-Hernández & Arnedo, 2010",Playa la Madera. Timanfaya,Tinajo,Lanzarote,Lowland xerophytic shrub (Pebbled beaches),29.062068,-13.774604,4,
"Dysdera mahan Macías-Hernández & Arnedo, 2010",Playa Las Salinas.  Lobos,Lobos,Fuerteventura,Lowland xerophytic shrub (Pebbled beaches),28.743173,-13.829946,3,
"Dysdera mahan Macías-Hernández & Arnedo, 2010",Playa Las Salinas. Puerto Calero,Yaiza,Lanzarote,Lowland xerophytic shrub (Pebbled beaches),28.918115,-13.698886,6,
"Dysdera mahan Macías-Hernández & Arnedo, 2010",Playa Majanicho,Corralejo,Fuerteventura,Lowland xerophytic shrub (Pebbled beaches),28.744863,-13.873707,3,
"Dysdera mahan Macías-Hernández & Arnedo, 2010",Punta Pasitos. Mala,Haría,Lanzarote,Lowland xerophytic shrub (Pebbled beaches),29.104336,-13.455999,7,
"Dysdera minutissima Wunderlich, 1992",Aguamansa,La Orotava,Tenerife,Pine forest ,28.356576,-16.499748,1200,
"Dysdera minutissima Wunderlich, 1992",Barranco del Pino,Santa Úrsula,Tenerife,Pine forest,28.384151,-16.475028,1375,
"Dysdera minutissima Wunderlich, 1992","La Caldera, Aguamansa, Lomo Colorado forest road",La Orotava,Tenerife,Pine forest,28.359658,-16.501015,1141,
"Dysdera montanetensis Wunderlich, 1992",Aguamansa,La Orotava,Tenerife,Pine forest ,28.356576,-16.499748,1200,
"Dysdera montanetensis Wunderlich, 1993",Barranco de los Cochinos. Monte del Agua,Los Silos,Tenerife,Laurel forest,28.324550,-16.819440,950,
"Dysdera montanetensis Wunderlich, 1994",Cueva Labrada,El Sauzal,Tenerife,Lava tube,28.437553,-16.413396,1698,
"Dysdera montanetensis Wunderlich, 1995",La Montañeta,Garachico,Tenerife,Pine forest,28.332726,-16.757315,1037,
"Dysdera montanetensis Wunderlich, 1996",Las Raíces,El Rosario,Tenerife,Pine forest,28.435580,-16.373500,1200,
"Dysdera nesiotes Simon, 1907",Atalaya de Femés. Los Ajaches,Yaiza,Lanzarote,Lowland xerophytic shrub,28.919520,-13.763700,380,
"Dysdera nesiotes Simon, 1907",Barranco Hondo del Valle,Haría,Lanzarote,Thermo-sclerophyllous woodlands,29.140800,-13.483200,125,
"Dysdera nesiotes Simon, 1907",Cabecera Barranco Elvira Sánchez,Haría,Lanzarote,Thermo-sclerophyllous woodlands,29.130724,-13.516903,566,
"Dysdera nesiotes Simon, 1907",Caldera de Montaña Lobos,Alegranza,Lanzarote,Lowland xerophytic shrub,29.393920,-13.501940,74,
"Dysdera nesiotes Simon, 1907",Caldera. Montaña Clara,Montaña Clara,Lanzarote,Lowland xerophytic shrub,29.298860,-13.535300,241,
"Dysdera nesiotes Simon, 1907",Famara Mountains,Haría,Lanzarote,Thermo-sclerophyllous woodlands,29.211204,-13.484156,440,
"Dysdera nesiotes Simon, 1907",Femés,Femés,Lanzarote,Lowland xerophytic shrub,28.922303,-13.765028,297,
"Dysdera nesiotes Simon, 1907",Fuente Ovejas. Guinate,Haría,Lanzarote,Thermo-sclerophyllous woodlands,29.184361,-13.501313,348,
"Dysdera nesiotes Simon, 1907",Máguez,Haría,Lanzarote,Thermo-sclerophyllous woodlands,29.154410,-13.519440,268,
"Dysdera nesiotes Simon, 1907",Meseta de Concheta. La Caldera,Alegranza,Lanzarote,Lowland xerophytic shrub,29.399590,-13.526570,242,
"Dysdera nesiotes Simon, 1907",Mirador del Río,Haría,Lanzarote,Lowland xerophytic shrub,29.211204,-13.484156,439,
"Dysdera nesiotes Simon, 1907",Montaña Blanca,Tías,Lanzarote,Lowland xerophytic shrub,28.980257,-13.638351,513,
"Dysdera nesiotes Simon, 1907",Montaña Tinache,Tinajo,Lanzarote,Lowland xerophytic shrub,29.051850,-13.669850,3214,
"Dysdera nesiotes Simon, 1907",Valle de Fenauco. Los Lomos,Yaiza,Lanzarote,Lowland xerophytic shrub,28.932870,-13.773660,282,
"Dysdera nesiotes Simon, 1907",Valle de Haría,Haría,Lanzarote,Thermo-sclerophyllous woodlands,29.152247,-13.502376,281,
"Dysdera nesiotes Simon, 1907",Valle de Malpaso,Haría,Lanzarote,Thermo-sclerophyllous woodlands,29.135308,-13.507113,360,
"Dysdera orahan Arnedo, Oromí & Ribera, 1997",Mirador de Bascos,Frontera,El Hierro,Thermo-sclerophyllous woodlands,27.754861,-18.118218,658,
"Dysdera orahan Arnedo, Oromí & Ribera, 1997",Puntallana,San Sebastián,La Gomera,Lowland xerophytic shrub (Dunes),28.127989,-17.106447,1037,
"Dysdera orahan Arnedo, Oromí & Ribera, 1997",Ventejís. Tiñor,Valverde,El Hierro,Pine forest,27.785991,-17.937508,1008,
"Dysdera paucispinosa Wunderlich, 1992",Degollada Cueva de la Negra. Inagua,Tejeda,Gran Canaria,Pine forest,27.932851,-15.646300,964,
"Dysdera paucispinosa Wunderlich, 1992",Degollada de Becerra,Tejeda,Gran Canaria,Pine forest,27.989730,-15.592920,1565,
"Dysdera paucispinosa Wunderlich, 1992",Degollada de Las Brujas,Mogán,Gran Canaria,Pine forest,27.940540,-15.731890,1220,
"Dysdera paucispinosa Wunderlich, 1992",Inagua,Mogán,Gran Canaria,Pine forest,27.938683,-15.708818,1161,
"Dysdera paucispinosa Wunderlich, 1992",Los Berrazales,Agaete,Gran Canaria,Pine forest,28.068779,-15.658864,435,
"Dysdera paucispinosa Wunderlich, 1992",Pinar de Pajonales,Tejeda,Gran Canaria,Pine forest,27.943295,-15.678000,1280,
"Dysdera paucispinosa Wunderlich, 1992",Tamadaba,Agaete,Gran Canaria,Pine forest,28.031840,-15.677020,1134,
"Dysdera ramblae Arnedo, Oromí & Ribera, 1997",Apartacaminos,Vallehermoso,La Gomera,Laurel forest,28.155349,-17.300600,945,
"Dysdera ramblae Arnedo, Oromí & Ribera, 1997",Barranco de Juel,San Sebastián,La Gomera,Laurel forest,28.151547,-17.162962,640,
"Dysdera ramblae Arnedo, Oromí & Ribera, 1997",Camino forestal Meriga - El Cedro,Agulo,La Gomera,Laurel forest,28.168996,-17.222357,840,
"Dysdera ramblae Arnedo, Oromí & Ribera, 1997",El Cedro,Hermigua,La Gomera,Laurel forest,28.137044,-17.222569,890,
"Dysdera ramblae Arnedo, Oromí & Ribera, 1997",Enchereda (towards degollada),San Sebastián,La Gomera,Laurel forest,28.136650,-17.179063,915,
"Dysdera ramblae Arnedo, Oromí & Ribera, 1997",La Asomadita (Chipude forest road),Vallehermoso,La Gomera,Laurel forest,28.111600,-17.264800,1255,
"Dysdera ramblae Arnedo, Oromí & Ribera, 1997",La Campana,Hermigua,La Gomera,Laurel forest,28.158055,-17.160623,730,
"Dysdera ramblae Arnedo, Oromí & Ribera, 1997",Laguna Grande,Agulo,La Gomera,Laurel forest,28.125420,-17.257171,1255,
"Dysdera ramblae Arnedo, Oromí & Ribera, 1997",Las Creces,P.N. Garajonay,La Gomera,Laurel forest,28.138714,-17.287851,1050,
"Dysdera ramblae Arnedo, Oromí & Ribera, 1997",Los Noruegos,Hermigua,La Gomera,Laurel forest,28.106905,-17.233323,1360,
"Dysdera ramblae Arnedo, Oromí & Ribera, 1997",Los Pajaritos,Hermigua,La Gomera,Laurel forest,28.108856,-17.241604,1355,
"Dysdera ramblae Arnedo, Oromí & Ribera, 1997",Monte de Juan Tomé. La Laja,San Sebastián,La Gomera,Laurel forest,28.123022,-17.210137,1035,
"Dysdera ramblae Arnedo, Oromí & Ribera, 1997",Monte del Cedro,Hermigua,La Gomera,Laurel forest,28.119283,-17.237290,1260,
"Dysdera ramblae Arnedo, Oromí & Ribera, 1997",Mora de Gaspar,Vallehermoso,La Gomera,Laurel forest,28.137564,-17.254264,1085,
"Dysdera ramblae Arnedo, Oromí & Ribera, 1997",Road Juego de Bolas - Laguna Grande,Agulo,La Gomera,Laurel forest,28.129925,-17.254707,1184,
"Dysdera ramblae Arnedo, Oromí & Ribera, 1997",Taguluche,Vallehermoso,La Gomera,Xerophytic scrubs,28.155201,-17.311055,580,
"Dysdera ramblae Arnedo, Oromí & Ribera, 1997",Teselinde. Ermita de Santa Clara,Vallehermoso,La Gomera,Laurel forest,28.196300,-17.287540,727,
"Dysdera ratonensis Wunderlich, 1992",Cueva Callejones,Mazo,La Palma,Lava tube,28.602790,-17.763046,194,
"Dysdera ratonensis Wunderlich, 1992",Cueva de La Fajanita,Garafia,La Palma,Lava tube,28.839789,-17.893348,96,
"Dysdera ratonensis Wunderlich, 1992",Cueva de los Arreboles,Fuencaliente,La Palma,Lava tube,28.493785,-17.829030,430,
"Dysdera ratonensis Wunderlich, 1992",Cueva de Los Caños,Mazo,La Palma,Lava tube,28.579496,-17.799226,943,
"Dysdera ratonensis Wunderlich, 1992",Cueva de los Murciélagos II,San Andrés y Sauces,La Palma,Lava tube,28.774036,-17.823787,1177,
"Dysdera ratonensis Wunderlich, 1992",Cueva de Los Palmeros,Fuencaliente,La Palma,Lava tube,28.507538,-17.856808,682,
"Dysdera ratonensis Wunderlich, 1992",Cueva de Tacande,Mazo,La Palma,Lava tube,28.640046,-17.880740,669,
"Dysdera ratonensis Wunderlich, 1992",Cueva del Ratón,Fuencaliente,La Palma,Lava tube,28.462557,-17.846746,165,
"Dysdera ratonensis Wunderlich, 1992",Cueva del Salto de Tigalate,Mazo,La Palma,Lava tube,28.534501,-17.793949,72,
"Dysdera ratonensis Wunderlich, 1992",Cueva El Canal,Mazo,La Palma,Lava tube,28.539763,-17.801238,365,
"Dysdera ratonensis Wunderlich, 1992",Cueva Honda de Gallegos,Garafía,La Palma,Lava tube,28.828932,-17.819993,449,
"Dysdera rugichelis Simon, 1909",Barranco de Guayadeque,Agüimes,Gran Canaria,Lowland xerophytic shrub,27.932980,-15.480070,550,
"Dysdera rugichelis Simon, 1909",Cumbre de Pajonales,Tejeda,Gran Canaria,Pine forest,27.943295,-15.678000,1280,
"Dysdera rugichelis Simon, 1909",Fontanales,Moya,Gran Canaria,Thermo-sclerophyllous woodlands,28.055530,-15.608730,1050,
"Dysdera rugichelis Simon, 1909",Inagua,Mogán,Gran Canaria,Pine forest,27.938683,-15.708818,1161,
"Dysdera rugichelis Simon, 1909",Los Majaletes,Ingenio,Gran Canaria,Thermo-sclerophyllous woodlands,27.940161,-15.499200,900,
"Dysdera rugichelis Simon, 1909",Pinar de Tamadaba,Agaete,Gran Canaria,Pine forest,28.031840,-15.677020,1134,
"Dysdera rugichelis Simon, 1909","Pinar de Tamadaba, forest house",Agaete,Gran Canaria,Pine forest,28.053618,-15.689764,1262,
"Dysdera sanborondon Arnedo, Oromí & Ribera, 2000",Cuchillos de Jacomar,Tuineje,Fuerteventura,Lowland xerophytic shrub,28.275507,-13.913101,51,
"Dysdera sanborondon Arnedo, Oromí & Ribera, 2000",Mirador de Morro Veloso,Betancuria,Fuerteventura,Lowland xerophytic shrub,28.441191,-14.056776,590,
"Dysdera sanborondon Arnedo, Oromí & Ribera, 2000",Montaña de la Cruz,Betancuria,Fuerteventura,Lowland xerophytic shrub,28.441619,-14.057354,592,
"Dysdera sanborondon Arnedo, Oromí & Ribera, 2000",Morro Tabaiba. Vallebrón,La Oliva,Fuerteventura,Lowland xerophytic shrub,28.592252,-13.943331,398,
"Dysdera sanborondon Arnedo, Oromí & Ribera, 2000",Tegú (road Antigua-Betancuria),Betancuria,Fuerteventura,Lowland xerophytic shrub,28.430451,-14.046955,639,
"Dysdera sibyllina Arnedo, 2007",Cueva de Felipe Reventón,Icod de los Vinos,Tenerife,Lava tube,28.350180,-16.704638,612,
